"IHC"	"Bioassay"
0.399989309751281	0.303177865228939
0.466042907047708	0.324094787283384
0.475550850847398	0.336738084537311
0.503688394870643	0.366587132939228
0.524430275217044	0.461158427045937
0.530991626996328	0.469761557966739
0.534986073286772	0.479348492776046
0.53990094034097	0.48404031529936
0.578198236711339	0.486965714537233
0.579133230161757	0.548829440781979
0.583447658929455	0.549381642150787
0.598693934834638	0.565564769466868
0.600326099992192	0.575713325433873
0.601136692104842	0.584147917598777
0.601480517718771	0.584505063130958
0.6028544342235	0.592087885799553
0.611312369706394	0.599250276149969
0.64049767304014	0.637439666010994
0.644089245230265	0.63817167642548
0.648139620683313	0.660500437284743
0.677181642424998	0.673200007143731
0.683861379511228	0.692705271233448
0.690631075503698	0.694001038915014
0.735648221180195	0.730419991814547
0.73911536986301	0.766898446717584
0.747782953904258	0.780941531001302
0.748838410565861	0.786702566567498
0.758554876327779	0.789466572217852
0.783435464429305	0.791360061323172
0.786203504377873	0.804412343355068
0.792749633442338	0.812851534397024
0.799804683550732	0.840164811401964
0.801153469448188	0.840655776029994
0.808599586829982	0.863996189063707
0.856008632780769	0.864241630503467
0.867838295063127	0.877195589426865
0.874938958166493	0.916034137494598
0.882791588852076	0.958705190672881
0.905120920563301	0.971907193744498
0.908672438930226	0.976516694219294
0.943042930980344	0.976673434796698
0.949166834214739	0.979158438587325
0.961703984790883	0.98088128957251
0.96318302885353	0.981413743525771
0.965407255006855	0.992456642996113
0.967510932518029	0.997450198134438
0.96808478209984	1.02638535402651
0.977128053894565	1.03393866366091
1.02000855896367	1.05469244646541
1.07906582698763	1.06275826024854
1.114364146941	1.06410777972525
1.11745957132601	1.07607229738099
1.17208572750946	1.08010473029018
1.18127278998628	1.10248057519547
1.19537245987276	1.11257725718926
1.20447589824057	1.11410331001081
1.2247862564697	1.11531855346309
1.23100323907453	1.15414800893923
1.26364772850168	1.16774425758583
1.28358116300806	1.20793259717119
1.30926241135161	1.21531269892844
1.31600195196998	1.22899323755113
1.36146085781866	1.2390414141536
1.3723441473868	1.24512827557758
1.40010668200152	1.25842994300646
1.40115382676169	1.27674601908878
1.42439021249535	1.32255534589387
1.42969233384316	1.32632957235152
1.45125125744148	1.34816877907053
1.45554249822817	1.3687677413746
1.47815177958755	1.38963631545576
1.48326240142105	1.39815880864528
1.48928339416352	1.41284416200264
1.50370678584275	1.41427420008761
1.52703261588148	1.4154228608736
1.56577515509341	1.42376547263799
1.68356685173766	1.44222606775544
1.71146003079552	1.46674160922675
1.71621115613312	1.47743246860476
1.72841539184219	1.50173240783719
1.74463022786955	1.5298047291007
1.81657369572553	1.62154188026594
1.83199563582558	1.62924992561722
1.8669433832369	1.68213652578834
1.9139271322241	1.87351803994781
2.00760503059201	1.88034291779467
2.02880019593196	1.90162013822814
2.03766530503119	2.04799654493703
2.08270133667812	2.25882167664872
2.13316541255148	2.38256594915651
2.23450487545944	2.47268921040114
2.27391571485972	2.47740237456535
2.35197988602472	2.53879553787123
2.38505622212108	2.92581367158161
2.52823463338817	2.92698300041558
2.66787435267259	2.97366801918524
2.72556432582711	3.01529006384943
2.88460707651596	3.14530826371993
3.01753525249047	3.6836678703187
3.59456111614657	4.04210180055531
